"id";"X";"Y"
"0";1;220390.66130215;451315.159267097
"1";2;220208.399914748;450719.078264784
"2";3;220423.67041713;450355.02140584
"3";4;220364.02865935;450866.067372112
"4";5;221060.025184463;450381.042738491
"5";6;221007.872139786;449796.163332443
"6";7;221318.194168083;450471.376601563
"7";8;220482.03150812;450569.869396202
"8";9;222284.592499066;452271.997430453
"9";10;221574.951007828;451723.670118289
"10";11;220277.795577844;451619.537763465
"11";12;222563.866419577;452404.575958331
"12";13;221225.642484452;452223.677642745
"13";14;221235.708238315;452404.465637048
"14";15;220825.094785963;452267.885353289
"15";16;220923.37340121;452054.193557327
"16";17;220712.212569324;451502.860498515
"17";18;220858.11192216;451429.143907892
"18";19;223066.980092191;451527.426012973
"19";20;221948.64223501;452422.749183137
"20";21;220630.692490738;451563.248895321
"21";22;221513.415883522;452126.069558517
"22";23;222907.772074356;452135.540583274
"23";24;222374.475211015;451496.456204688
"24";25;222650.730894845;450772.920196276
"25";26;221760.657176104;451270.675430981
"26";27;221704.778254863;450529.28748156
"27";28;221825.935394101;451032.653927689
"28";29;222940.459092255;451463.593356308
"29";30;221764.108233025;451546.1545072
"30";31;221961.864129678;451649.941337348
"31";32;222889.809670378;452017.548525638
"32";33;220645.264946313;450549.167293563
"33";34;223047.331135058;451221.538017064
"34";35;222526.889618057;450693.2258764
"35";36;220344.446390298;450553.428979166
"36";37;221355.662835287;450176.60275126
"37";38;221320.711983268;450114.259332288
"38";39;222114.305219132;452363.674340224
"39";40;222197.713361785;452211.810609801
"40";41;220753.560858631;450774.82325961
"41";42;222175.295825521;451623.291138771
"42";43;221923.357985997;451434.109335031
"43";44;221631.060292366;451113.823859853
"44";45;220837.809603153;450115.739684864
"45";46;220699.322306;451843.569133014
"46";47;221334.881991477;452214.423360222
"47";48;222499.394899998;450893.149958826
"48";49;221537.522643363;451460.710110289
"49";50;222204.818167671;452496.080533806
"50";51;221507.090873141;449819.289427354
"51";52;220595.071395571;451148.892791827
"52";53;222935.211083489;451043.986480036
"53";54;221974.125248733;449419.98143133
"54";55;220361.156945216;451095.103874843
"55";56;221856.380376971;450373.25536354
"56";57;221676.121590951;450240.003706477
"57";58;222180.158933685;451233.577760712
"58";59;220817.988865638;451575.453654406
"59";60;221481.993766051;450039.78987837
"60";61;222798.03831785;451988.924500363
"61";62;222715.747840768;451734.870017215
"62";63;223118.026132656;451803.72619855
"63";64;220857.844428893;450646.378132304
"64";65;222366.541898665;450776.301660779
"65";66;222604.422083266;451012.225534464
"66";67;220994.104558966;449902.339990776
"67";68;220903.734819891;450398.797865294
"68";69;222559.223645101;452419.20229036
"69";70;221251.628860591;450319.448139672
"70";71;220919.939122063;449990.10594153
"71";72;220789.022169447;449992.080321962
"72";73;220490.14954364;450415.428471742
"73";74;220728.765582661;451355.934771779
"74";75;220812.623983286;452288.252717782
"75";76;221437.341640186;451730.667702857
"76";77;221764.549700243;452029.808569503
